               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12733,            0.042476,                   0,           0.0060345,             0.35294,           0.0076055,           0.0016194,             0.09426,            0.033464,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.11501,             0.04329,                   0,            0.070457,             0.10294,            0.036754,           0.0088992,            0.085276,            0.032743,                   0,            0.077475,           0.0024753,           0.0024753
                   2,             0.10627,            0.049944,                   0,             0.21415,             0.29412,             0.10201,            0.029612,            0.074595,            0.033562,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.094815,            0.048597,                   0,             0.23559,             0.26471,             0.14451,             0.04268,            0.072768,            0.029844,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.083919,            0.043737,                   0,              0.7094,             0.27941,             0.30089,            0.079827,             0.06734,             0.03023,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.086643,            0.049887,                   0,             0.06646,             0.30882,            0.042378,           0.0082675,            0.079207,            0.027181,                   0,            0.030319,           0.0073188,           0.0073188
                   6,            0.086779,            0.044125,                   0,             0.13093,             0.30882,            0.096905,            0.023603,            0.072218,            0.025887,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.084728,            0.045838,                   0,             0.40123,             0.30882,             0.26882,            0.073642,            0.068554,            0.022313,                   0,            0.009307,            0.009307,            0.009307
                   8,             0.07707,            0.038501,                   0,             0.40123,             0.30882,             0.26882,            0.073642,            0.068554,            0.022313,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.080671,             0.04537,                   0,             0.28036,             0.36765,             0.23484,            0.061155,            0.068737,            0.021328,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.072274,            0.038548,                   0,              0.3379,             0.35294,             0.22718,            0.047173,            0.070781,            0.020628,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.068331,            0.041653,                   0,             0.32355,             0.48529,             0.26364,            0.063772,            0.062043,            0.021173,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.072038,            0.036581,                   0,              0.1968,             0.32353,             0.18297,            0.055099,             0.07038,            0.019924,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.073082,            0.030232,                   0,             0.27522,             0.35294,             0.25928,            0.086046,            0.062832,            0.020371,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.072717,            0.041805,                   0,             0.27522,             0.35294,             0.25928,            0.086046,            0.062832,            0.020371,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.066826,             0.03849,                   0,             0.54564,             0.33824,             0.36331,             0.15372,            0.057469,            0.020934,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.067036,            0.037866,                   0,             0.58148,             0.30882,             0.34705,             0.12291,            0.063276,            0.020543,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.06983,            0.032707,                   0,             0.44286,             0.38235,             0.33398,            0.099424,            0.056693,            0.020266,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.066745,            0.037683,                   0,             0.52656,             0.48529,             0.48904,             0.17232,            0.054281,            0.021558,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063362,            0.037098,                   0,             0.52656,             0.48529,             0.48904,             0.17232,            0.054281,            0.021558,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.062008,            0.033944,                   0,             0.52638,             0.47059,             0.48499,             0.17189,            0.053272,            0.020907,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.057219,            0.039691,                   0,              0.5421,             0.52236,             0.57135,             0.24284,            0.049122,            0.019864,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.057608,            0.032723,                   0,             0.61457,             0.55882,             0.57709,             0.29245,            0.047617,            0.019466,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.059627,            0.035382,                   0,             0.29338,             0.47059,             0.24494,            0.085819,            0.057855,            0.020863,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.068894,            0.033698,                   0,             0.29338,             0.47059,             0.24494,            0.085819,            0.057855,            0.020863,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.067542,             0.03423,                   0,             0.19926,             0.47059,             0.18242,            0.057802,            0.062034,            0.021419,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.064717,            0.033769,                   0,             0.26162,                 0.5,             0.27502,             0.12411,            0.056475,            0.021601,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.061547,            0.038543,                   0,             0.67631,             0.44118,             0.56288,              0.2804,            0.044538,            0.021048,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.050426,            0.031802,                   0,             0.47933,             0.54412,             0.48223,             0.16708,            0.049036,            0.020684,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.056585,            0.029935,                   0,             0.61963,                 0.5,             0.53772,             0.21825,            0.042321,            0.021528,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.047171,            0.029019,                   0,             0.61963,                 0.5,             0.53772,             0.21825,            0.042321,            0.021528,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.050192,             0.03256,                   0,             0.84387,             0.55642,              0.6595,              0.2835,            0.040202,            0.020952,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.04506,            0.032807,                   0,             0.67704,             0.61765,               0.603,             0.28047,            0.039245,            0.019495,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050511,            0.030892,                   0,             0.53206,              0.5184,             0.49359,             0.20114,            0.046663,             0.01829,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.057141,            0.032097,                   0,             0.59302,             0.61765,             0.59818,             0.28304,            0.039594,            0.018781,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.048238,            0.029435,                   0,             0.59302,             0.61765,             0.59818,             0.28304,            0.039594,            0.018781,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.045033,            0.027837,                   0,             0.57385,             0.61765,             0.61423,             0.27676,            0.040324,            0.018726,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.045187,            0.030837,                   0,             0.79074,             0.63235,             0.74735,             0.42502,             0.03651,            0.018292,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.044998,             0.03534,                   0,             0.72125,             0.64706,             0.73258,             0.39961,            0.038678,              0.0174,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.046159,            0.029644,                   0,             0.70978,             0.61148,             0.70383,             0.37779,            0.037423,            0.017267,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.044748,            0.028496,                   0,             0.70978,             0.61148,             0.70383,             0.37779,            0.037423,            0.017267,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050822,             0.02874,                   0,             0.57682,             0.57353,             0.61524,             0.29975,            0.040066,             0.01708,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.047596,            0.030437,                   0,             0.70986,             0.61765,              0.7241,             0.40619,            0.036819,            0.016526,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040597,            0.026412,                   0,             0.84729,             0.82353,             0.87062,             0.48282,            0.034243,            0.016655,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.04284,             0.03145,                   0,             0.59373,             0.73075,               0.668,             0.28487,            0.042413,            0.015984,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.052576,            0.026148,                   0,             0.62268,             0.76471,             0.72705,             0.40752,            0.035665,            0.016435,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040467,            0.024402,                   0,             0.62268,             0.76471,             0.72705,             0.40752,            0.035665,            0.016435,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.035046,            0.026076,                   0,             0.67979,             0.79412,              0.7742,             0.43572,            0.033721,            0.016716,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033161,            0.022509,                   0,             0.85109,                0.75,             0.85809,             0.49923,            0.031303,            0.016722,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.037897,            0.025618,                   0,              0.8233,             0.79412,             0.86293,             0.45751,            0.034838,            0.016599,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040352,            0.028737,                   0,             0.66038,             0.83824,             0.80924,             0.43478,            0.034007,            0.016329,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.039988,            0.024261,                   0,             0.66038,             0.83824,             0.80924,             0.43478,            0.034007,            0.016329,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.04483,            0.024976,                   0,             0.68849,             0.82353,             0.82748,             0.43574,            0.034732,            0.016233,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.036377,            0.025101,                   0,             0.87047,             0.79412,              0.8874,             0.52759,            0.030804,            0.016142,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.033894,            0.025798,                   0,             0.84899,             0.82353,              0.8304,             0.48673,            0.030771,             0.01603,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.033552,            0.027205,                   0,             0.67085,             0.80882,             0.74265,             0.44561,            0.033098,            0.016213,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03799,            0.022306,                   0,             0.67085,             0.80882,             0.74265,             0.44561,            0.033098,            0.016213,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.044497,            0.025702,                   0,             0.62351,             0.80882,             0.71895,             0.41128,            0.035915,            0.016366,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.040859,            0.034156,                   0,             0.65761,             0.81912,             0.75783,             0.47084,            0.032052,            0.016204,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037501,            0.024433,                   0,             0.77473,             0.80923,             0.81279,             0.49405,            0.030644,            0.015922,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036224,            0.028497,                   0,             0.72291,             0.85294,             0.85416,             0.50931,            0.031848,            0.015594,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.039718,            0.026549,                   0,             0.87719,             0.84032,             0.90947,             0.55916,            0.029395,            0.015295,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.033783,            0.024045,                   0,             0.87719,             0.84032,             0.90947,             0.55916,            0.029395,            0.015295,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031999,            0.026917,                   0,             0.95068,             0.85046,             0.92016,             0.57163,            0.028242,            0.015044,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027723,            0.021863,                   0,             0.95826,             0.83824,             0.92921,             0.59148,            0.027588,            0.015204,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032967,            0.028148,                   0,             0.86348,             0.83714,             0.90724,             0.47901,            0.031843,            0.015141,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.034016,            0.025233,                   0,             0.96638,             0.84557,             0.93048,             0.58177,            0.028057,            0.014765,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.03373,            0.024124,                   0,             0.96638,             0.84557,             0.93048,             0.58177,            0.028057,            0.014765,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031601,            0.025748,                   0,              0.9554,             0.85294,             0.93156,             0.56212,            0.029355,            0.014742,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031278,            0.028406,                   0,             0.97407,             0.85294,              0.9264,             0.58602,            0.026902,            0.014538,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031072,            0.022049,                   0,             0.97422,             0.85294,             0.94619,             0.60907,            0.027123,            0.014771,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.030409,            0.022981,                   0,             0.96708,             0.86399,             0.94359,             0.60887,            0.028801,            0.015278,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.034405,            0.024413,                   0,             0.96708,             0.86399,             0.94359,             0.60887,            0.028801,            0.015278,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.035446,            0.026327,                   0,             0.96704,             0.86296,             0.94269,               0.607,            0.030532,            0.015639,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.032702,            0.025124,                   0,                   1,             0.86515,             0.95059,             0.62635,            0.028298,            0.015373,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02978,            0.021396,                   0,             0.95069,             0.85053,             0.94147,             0.59929,            0.027689,            0.014807,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02925,             0.02408,                   0,                   1,             0.86683,             0.94309,             0.59929,            0.026184,            0.014558,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029878,            0.024907,                   0,             0.98326,              0.8636,             0.93282,             0.60039,            0.027905,            0.014751,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030729,             0.02484,                   0,             0.98326,              0.8636,             0.93282,             0.60039,            0.027905,            0.014751,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.029695,            0.027884,                   0,              0.9833,             0.86597,             0.93097,             0.59244,            0.028057,            0.014815,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02831,            0.017622,                   0,              0.9749,             0.86765,             0.92302,             0.61855,            0.026012,            0.014634,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.031224,            0.028109,                   0,             0.98956,             0.86765,             0.93041,             0.62346,            0.026522,            0.014609,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.032338,            0.026153,                   0,               0.987,             0.86765,             0.92861,             0.62501,            0.026372,            0.014641,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.027178,            0.021122,                   0,               0.987,             0.86765,             0.92861,             0.62501,            0.026372,            0.014641,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.028284,            0.022728,                   0,              0.9676,             0.86765,             0.93213,             0.60724,            0.026494,            0.014734,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.028932,            0.019965,                   0,             0.98559,             0.86765,             0.92951,             0.60953,            0.025969,            0.014753,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.028222,            0.021642,                   0,             0.96785,             0.86765,             0.93655,             0.61747,            0.025538,            0.014608,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029268,            0.026677,                   0,              0.9655,             0.85294,             0.93073,             0.61945,            0.025226,            0.014466,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026751,            0.020491,                   0,              0.9655,             0.85294,             0.93073,             0.61945,            0.025226,            0.014466,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025017,            0.020663,                   0,             0.96555,             0.85294,             0.93793,             0.61618,            0.025216,            0.014461,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.026301,            0.022005,                   0,             0.97208,             0.85294,             0.92861,             0.61298,            0.025193,            0.014343,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.026664,            0.023396,                   0,             0.97129,             0.85294,             0.94436,             0.62085,            0.025246,            0.014318,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.026483,            0.022153,                   0,             0.98124,             0.85294,             0.92943,             0.61583,            0.025274,            0.014254,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.026056,            0.024439,                   0,             0.97331,             0.85294,             0.93216,             0.60904,             0.02524,            0.014322,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.027325,            0.025553,                   0,             0.97331,             0.85294,             0.93216,             0.60904,             0.02524,            0.014322,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.024242,            0.020605,                   0,             0.97418,             0.85294,              0.9343,             0.61285,            0.025323,            0.014398,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.025957,            0.025015,                   0,             0.97564,             0.85294,             0.93602,              0.6146,            0.025371,            0.014421,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.026197,            0.022808,                   0,             0.97601,             0.85294,             0.93048,             0.61755,            0.025438,            0.014432,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.024961,            0.024324,                   0,             0.97674,             0.85294,             0.93455,             0.62215,            0.025585,            0.014467,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.026183,            0.020301,                   0,             0.97674,             0.85294,             0.93455,             0.62215,            0.025585,            0.014467,                   0,            0.000298,            0.000298,            0.000298
